,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
0,Switched,2018–,N/A,01 Aug 2018,35 min,"Drama, Sci-Fi",N/A,N/A,"Kaya Kiyohara, Daiki Shigeoka, Tomohiro Kamiyama, Miu Tomita","In this sci-fi teen drama based on a Japanese comic book series, 2 high school girls swapped bodies. After the unattractive girl switched with a cute popular girl, she refused to switch back.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTA1ODgyOTk4NzVeQTJeQWpwZ15BbWU4MDE1NzI1MDYz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,839,tt8747882,series,,,,,True,1,
1,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
2,Teen Wolf: Back to the Pack,2013,N/A,27 May 2013,42 min,"Drama, Horror, Thriller",N/A,N/A,"Doug Cox, Tyler Hoechlin, Dylan O'Brien, Tyler Posey",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGQ3MWJkOGQtOTE4OS00NmVkLThjNTQtMzUyZDFhZWZkN2ZiXkEyXkFqcGdeQXVyNzg0NzQ5NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,89,tt2935250,movie,N/A,N/A,N/A,N/A,True,,
3,Hinterland,2013–,N/A,28 Apr 2014,90 min,"Crime, Drama, Mystery",N/A,N/A,"Richard Harrington, Mali Harries, Alex Harries, Hannah Daniel","A noir crime drama set in Aberystwyth, Wales, where troubled DCI Tom Mathias solves murders while searching for redemption.","Welsh, English",UK,6 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BM2FkYTUwZWYtZGJkOS00OTFmLWFiN2YtODljZGYwN2EyYzFiXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"9,251",tt2575968,series,,,,,True,3,
4,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
5,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
6,Air Bud: Golden Receiver,1998,G,14 Aug 1998,90 min,"Comedy, Family, Sport",Richard Martin,"Kevin DiCicco (character ""Air Bud""), Paul Tamasy (characters), Aaron Mendelsohn (characters), Paul Tamasy, Aaron Mendelsohn","Tim Conway, Dick Martin, Kevin Zegers, Cynthia Stevenson",Story of a golden retriever who can play football.,English,"USA, Canada",3 nominations.,https://m.media-amazon.com/images/M/MV5BNjcxMzQ2NDM0NF5BMl5BanBnXkFtZTgwOTI4OTY4ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",N/A,4.5,"5,153",tt0140796,movie,12 Dec 2000,N/A,Dimension Films,N/A,True,,
7,The Break with Michelle Wolf,2018–,TV-MA,27 May 2018,N/A,Comedy,N/A,N/A,"Michelle Wolf, D.J. Jer-z, Michael Hartney",Comedian Michelle Wolf riffs on the latest topics and trends of the day.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzM5Nzk1MTUxNF5BMl5BanBnXkFtZTgwNjc3OTU1NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"1,746",tt8010342,series,,,,,True,1,
8,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
9,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
