,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
0,Hannah Gadsby: Nanette,2018,TV-MA,19 Jun 2018,69 min,Comedy,"Jon Olb, Madeleine Parry",Hannah Gadsby,Hannah Gadsby,Stand-up comedy in which Hannah Gadsby explains why she is giving up comedy. She tells the story of the strength of being a broken woman who has rebuilt herself.,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BY2I3MThmYTctZTU4YS00YWNmLTg4YzktNDY0ZGE5MmQ3Y2Q3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.3,"7,514",tt8465676,movie,19 Jun 2018,N/A,Netflix,N/A,True,,
1,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
2,Unsolved,2018,N/A,13 May 2018,6 min,"Short, Crime, Drama",Kaylie Defilippis,Aaron Zimmerman,"Avery Griffith, Ashlyn Smith, Dustin Staff",Two hard-boiled detectives try to crack a murder case in the crime-ridden city of 1940s Los Angeles.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGYxNTM0NjQtZmI3Ny00MTY1LWFiZWMtODc3MGQzOGEyY2UwXkEyXkFqcGdeQXVyNTEzMjc2NTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8409440,movie,N/A,N/A,N/A,N/A,True,,
3,Free State of Jones,2016,R,24 Jun 2016,139 min,"Action, Biography, Drama, History, War, Western",Gary Ross,"Gary Ross (screenplay by), Leonard Hartman (story), Gary Ross (story)","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,English,USA,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.9,"47,986",tt1124037,movie,20 Sep 2016,N/A,STX Entertainment,N/A,True,,
4,All Eyez on Me,2017,R,16 Jun 2017,139 min,"Biography, Drama, Music",Benny Boom,"Jeremy Haft, Eddie Gonzalez, Steven Bagatourian","Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc5NzQ4NzU4OF5BMl5BanBnXkFtZTgwNTkxMzE0MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.8,"19,853",tt1666185,movie,05 Sep 2017,"$44,892,121",SUMMIT/CODEBLACK FILMS/LIONSGATE,N/A,True,,
5,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
6,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
7,Beirut,2018,R,11 Apr 2018,109 min,"Drama, Thriller",Brad Anderson,Tony Gilroy,"Jon Hamm, Jay Potter, Khalid Benchagra, Ania Josse","Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.","English, Arabic, French",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZWU5MjMxYmMtYzY2NS00MDU1LWIwMzAtMzIwYjY5NDIxZjZkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.4,"17,112",tt4669264,movie,03 Jul 2018,N/A,Bleecker Street,N/A,True,,
8,Set It Up,2018,TV-14,15 Jun 2018,105 min,"Comedy, Romance",Claire Scanlon,Katie Silberman,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Two corporate executive assistants hatch a plan to match-make their two bosses.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk0MDUyMzA1OF5BMl5BanBnXkFtZTgwNzA4NzE1NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.5,"36,924",tt5304992,movie,15 Jun 2018,N/A,Netflix,N/A,True,,
9,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
