,Unnamed: 0,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons,rotten_tomatoes_rating
0,0,The Gift,2015,R,07 Aug 2015,108 min,"Drama, Mystery, Thriller",Joel Edgerton,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,English,"USA, Australia, China",2 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzMjM2NjM1Nl5BMl5BanBnXkFtZTgwMDM1MjQyNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,7.0,"129,755",tt4178092,movie,27 Oct 2015,"$33,061,006",STX Entertainment,,True,,,92%
1,1,The 24 Hour War,2016,,,99 min,"Documentary, History","Nate Adams, Adam Carolla",,"Charlie Agapiou, Mario Andretti, A.J. Baime, Bob Bondurant","In the early 1960s, Henry Ford II and Enzo Ferrari went to war on the battlefield of Le Mans. This epic battle saw drivers lose their lives, family dynasties nearly collapse and the development of a new race car that changed racing.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYTA1Y2JlNGQtM2UyMi00OTUyLThmYzEtNDIxYWQ3OGMxOWFiXkEyXkFqcGdeQXVyMjg1NjIxODQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.2,"1,466",tt4875844,movie,22 Nov 2016,,,,True,,,100
2,2,The Bourne Supremacy,2004,PG-13,23 Jul 2004,108 min,"Action, Mystery, Thriller",Paul Greengrass,"Robert Ludlum (novel), Tony Gilroy (screenplay)","Matt Damon, Franka Potente, Brian Cox, Julia Stiles","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","English, Russian, German, Italian","USA, Germany",5 wins & 22 nominations.,https://m.media-amazon.com/images/M/MV5BYTIyMDFmMmItMWQzYy00MjBiLTg2M2UtM2JiNDRhOWE4NjBhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.7,"418,974",tt0372183,movie,07 Dec 2004,"$176,049,130",Universal Pictures,,True,,,81%
3,3,The Longest Yard,2005,PG-13,27 May 2005,113 min,"Comedy, Crime, Sport",Peter Segal,"Al Ruddy (story), Tracy Keenan Wynn, Sheldon Turner (screenplay)","Adam Sandler, Chris Rock, Burt Reynolds, Nelly",Prison inmates form a football team to challenge the prison guards.,English,USA,2 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMTc1NTQyNDk2NV5BMl5BanBnXkFtZTcwOTE2OTQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.4,"156,013",tt0398165,movie,03 Aug 2004,"$157,900,000",Paramount Pictures,,True,,,31%
4,4,Yoga Hosers,2016,PG-13,02 Sep 2016,88 min,"Action, Comedy, Fantasy, Horror, Thriller",Kevin Smith,Kevin Smith,"Lily-Rose Depp, Harley Quinn Smith, Adam Brody, Harley Morenstein",Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.,"English, French, German",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU0MjUzMDc3Ml5BMl5BanBnXkFtZTgwNjg5NjYwOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23.0,4.3,"11,313",tt3838992,movie,22 Nov 2016,,Invincible Pictures,,True,,,23%
5,5,Wedding Crashers,2005,R,15 Jul 2005,119 min,"Comedy, Romance",David Dobkin,"Steve Faber, Bob Fisher","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams","John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",English,USA,11 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BZmJkNzViYjYtZWZlNy00OGE4LWI2MzUtYTcwNjY3Y2MyODIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,6.9,"322,069",tt0396269,movie,03 Jan 2006,"$209,218,368",New Line Cinema,,True,,,75%
6,6,The Lost World: Jurassic Park,1997,PG-13,23 May 1997,129 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Michael Crichton (novel), David Koepp (screenplay)","Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard","A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","English, Spanish",USA,Nominated for 1 Oscar. Another 4 wins & 27 nominations.,https://m.media-amazon.com/images/M/MV5BMDFlMmM4Y2QtNDg1ZS00MWVlLTlmODgtZDdhYjY5YjdhN2M0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.6,"361,596",tt0119567,movie,10 Oct 2000,,Universal Pictures,,True,,,52%
7,7,Sniper: Legacy,2014,R,30 Sep 2014,95 min,"Action, Thriller, War",Don Michael Paul,"John Fasano (screenplay), Don Michael Paul (screenplay), John Fasano (story), Michael Frost Beckner (based on characters created by), Crash Leyland (based on characters created by)","Tom Berenger, Chad Michael Collins, Doug Allen, Dominic Mafham","A rogue assassin is taking out military leaders, and Brandon gets word that his father is one. He tries to track down the killer, finds out that his father isn't dead and realizes that his superior officers are using him as bait to track the killer.",English,"USA, Bulgaria",,https://m.media-amazon.com/images/M/MV5BNTM5ODMzMzc3Ml5BMl5BanBnXkFtZTgwMTc1MDMzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,"3,252",tt3776288,movie,30 Sep 2014,,Sony Pictures Home Entertainment,,True,,,-
8,8,The Da Vinci Code,2006,PG-13,19 May 2006,149 min,"Action, Mystery, Thriller",Ron Howard,"Akiva Goldsman (screenplay), Dan Brown (novel)","Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.","English, French, Latin, Spanish","USA, Malta, France, UK",Nominated for 1 Golden Globe. Another 8 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.6,"385,117",tt0382625,movie,14 Nov 2006,"$217,536,138",Sony Pictures,,True,,,26%
9,9,The Dilemma,2011,PG-13,14 Jan 2011,111 min,"Comedy, Drama",Ron Howard,Allan Loeb,"Vince Vaughn, Kevin James, Jennifer Connelly, Winona Ryder",A man discovers that his best friend's wife is having an affair.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMzg3MDUwMTI1OV5BMl5BanBnXkFtZTcwNzY0NDIxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,5.3,"50,421",tt1578275,movie,03 May 2011,"$48,430,355",Universal Pictures,,True,,,24%
